"","publication.title","publication.journal","publication.date","publication.doi","publication.tot_cites","publication.abstract","Assigned.to","Food.item_notes","Inputs","Inputs_notes","Production","Production_notes","Storage.Processing","Storage.Processing_notes","Distribution.domestic","Distribution.domestic_notes","International.trade","International.trade_notes","Retail.Markets","Retail.Markets_notes","Consumption","Consumption_notes","Price","Price_notes","Shock.type","Shock.type.notes","Shock.year","Propagation","Study.design","Study.design.type","Primary.outcomes.assessed","Study.location","Study.scale","Study.time.period","Eliminate","Elimination.justification","Notes","study.id","Food.item","Stop_at_prod","Study.region"
"195","Environmental causes of the fluctuations of red shrimp (Aristeus antennatus) landings in the Catalan Sea","Journal of Marine Systems",NA,"10.1016/j.jmarsys.2006.09.008",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"NAO",NA,NA,NA,NA,NA,NA,"Catalonia, Spain","Sub-national",NA,NA,NA,NA,111,"Seafood","Y","Europe"
"196","Sensitivity of crop cover to climate variability: Insights from two Indian agro-ecoregions","Journal of Environmental Management",NA,"10.1016/j.jenvman.2014.02.026",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"temperature, precipitation",NA,NA,NA,NA,NA,NA,"central India; western India","Sub-national",NA,NA,NA,NA,112,"Not specific","Y","Asia"
"197","Sustainability and climate variability in low-input peasant maize systems in the central Mexican highlands","Agriculture Ecosystems & Environment",NA,"10.1016/j.agee.2013.09.022",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"climate variability, frost, drought",NA,NA,NA,NA,NA,NA,"central Mexico","Sub-national",NA,NA,NA,NA,113,"Maize, Wheat & Rice","Y","North America"
"198","The relationship between extreme weather events and crop losses in central Taiwan","Theoretical and Applied Climatology",NA,"10.1007/s00704-017-2261-z",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"extreme weather events",NA,NA,NA,NA,NA,NA,"central Taiwan","Sub-national",NA,NA,NA,NA,114,"Not specific","Y","Asia"
"199","Heterogeneous effects of warming and drought on selected wheat variety yields","Climatic Change",NA,"10.1007/s10584-014-1185-1",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"temperature, precipitation",NA,NA,NA,NA,NA,NA,"central USA","Sub-national",NA,NA,NA,NA,115,"Maize, Wheat & Rice","Y","North America"
"200","ENSO, climate variability and crop yields in China","Climate Research",NA,"10.3354/cr01194",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"ENSO, temperature, precipitation",NA,NA,NA,NA,NA,NA,"China","National",NA,NA,NA,NA,116,"Maize, Wheat & Rice","Y","Asia"
"201","Disasters of Flood and Waterloging Impact on Agriculture","Construction and Urban Planning, Pts 1-4",NA,"10.4028/www.scientific.net/AMR.671-674.2648",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"flood",NA,NA,NA,NA,NA,NA,"China","National",NA,NA,NA,NA,117,"Not specific","Y","Asia"
"202","Spatio-temporal distributions of climate disasters and the response of wheat yields in China from 1983 to 2008","Natural Hazards",NA,"10.1007/s11069-014-1197-1",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"climate disasters",NA,NA,NA,NA,NA,NA,"China","National",NA,NA,NA,NA,118,"Maize, Wheat & Rice","Y","Asia"
"203","Impacts of climate change and climate extremes on major crops productivity in China at a global warming of 1.5 and 2.0 degrees C","Earth System Dynamics",NA,"10.5194/esd-9-543-2018",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"heat, drought",NA,NA,NA,NA,NA,NA,"China","National",NA,NA,NA,NA,119,"Maize, Wheat & Rice","Y","Asia"
"204","Assessing the Impacts of Extreme Agricultural Droughts in China Under Climate and Socioeconomic Changes","Earths Future",NA,"10.1002/2017EF000768",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"drought",NA,NA,NA,NA,NA,NA,"China","National",NA,NA,NA,NA,120,"Maize, Wheat & Rice","Y","Asia"
"205","How ENSO affects maize yields in China: understanding the impact mechanisms using a process-based crop model","International Journal of Climatology",NA,"10.1002/joc.4360",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"ENSO",NA,NA,NA,NA,NA,NA,"China","National",NA,NA,NA,NA,121,"Maize, Wheat & Rice","Y","Asia"
"206","Association between Empirically Estimated Monsoon Dynamics and Other Weather Factors and Historical Tea Yields in China: Results from a Yield Response Model","Climate",NA,"10.3390/cli4020020",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"weather",NA,NA,NA,NA,NA,NA,"China","National",NA,NA,NA,NA,122,"Misc.","Y","Asia"
"207","Variability in crop yields associated with climate anomalies in China over the past three decades","Regional Environmental Change",NA,"10.1007/s10113-015-0920-0",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"temperature, precipitation, solar radiation",NA,NA,NA,NA,NA,NA,"China","National",NA,NA,NA,NA,123,"Maize, Wheat & Rice","Y","Asia"
"208","The impact of weather variations on maize yields and household income: Income diversification as adaptation in rural China","Global Environmental Change-Human and Policy Dimensions",NA,"10.1016/j.gloenvcha.2016.12.006",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"weather",NA,NA,NA,NA,NA,NA,"China","National",NA,NA,NA,NA,124,"Maize, Wheat & Rice","Y","Asia"
"209","The impacts of increased heat stress events on wheat yield under climate change in China","Climatic Change",NA,"10.1007/s10584-016-1866-z",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"heat",NA,NA,NA,NA,NA,NA,"China","National",NA,NA,NA,NA,125,"Maize, Wheat & Rice","Y","Asia"
"210","Impact of Climate on Food Security in Mainland China: A New Perspective Based on Characteristics of Major Agricultural Natural Disasters and Grain Loss","Sustainability",NA,"10.3390/su11030869",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"floods, droughts, hail, low temperature",NA,NA,NA,NA,NA,NA,"China","National",NA,NA,NA,NA,126,"Not specific","Y","Asia"
"211","Effects of climate variability and change on Chinese agriculture: a review","Climate Research",NA,"10.3354/cr01038",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"drought, precipitation variability",NA,NA,NA,NA,NA,NA,"China","National",NA,NA,NA,NA,127,"Maize, Wheat & Rice","Y","Asia"
"212","The regional impacts of climate change on coastal environments and the aquaculture of Japanese scallops in northeast Asia: case studies from Dalian, China, and Funka Bay, Japan","International Journal of Remote Sensing",NA,"10.1080/01431161.2014.916435",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"ENSO, EAM, AO",NA,NA,NA,NA,NA,NA,"China; Japan","Sub-national",NA,NA,NA,NA,128,"Seafood","Y","Asia"
"213","Spatio-temporal variations of the catch per unit effort in the coastal small-scale fishery of snapper Lutjanus synagris, of the Colombian Caribbean and their relationship with environmental variables","Revista De Biologia Marina y Oceanografia",NA,NA,NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"sea surface temperature",NA,NA,NA,NA,NA,NA,"Colombia","National",NA,NA,NA,NA,129,"Seafood","Y","South America"
"214","Yield response to climate, management, and genotype: a large-scale observational analysis to identify climate-adaptive crop management practices in high-input maize systems","Environmental Research Letters",NA,"10.1088/1748-9326/aae7a8",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"",NA,NA,NA,NA,NA,NA,"Corn Belt, US","Sub-national",NA,NA,NA,NA,130,"Maize, Wheat & Rice","Y","North America"
"215","Climate Variability and the US Corn Belt: ENSO and AO Episode-Dependent Hydroclimatic Feedbacks to Corn Production at Regional and Local Scales","Earth Interactions",NA,"10.1175/EI-D-14-0031.1",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"ENSO, AO",NA,NA,NA,NA,NA,NA,"Corn Belt, USA","Sub-national",NA,NA,NA,NA,131,"Maize, Wheat & Rice","Y","North America"
"216","Socioeconomic valuation of the impact of climate variability on artisanal fisheries in Costa Rica","Uniciencia",NA,"10.15359/ru.32-1.2",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"sea surface temperatures, ENSO",NA,NA,NA,NA,NA,NA,"Costa Rica","National",NA,NA,NA,NA,132,"Seafood","Y","North America"
"217","Water balance, drought stress and yields for rainfed field crop rotations under present and future conditions in the Czech Republic","Climate Research",NA,"10.3354/cr01339",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"drought",NA,NA,NA,NA,NA,NA,"Czech Republic","National",NA,NA,NA,NA,133,"Other cereals","Y","Europe"
"218","The impacts of key adverse weather events on the field-grown vegetable yield variability in the Czech Republic from 1961 to 2014","International Journal of Climatology",NA,"10.1002/joc.4807",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"heavy precipitation, drought, heat stress",NA,NA,NA,NA,NA,NA,"Czech Republic","National",NA,NA,NA,NA,134,"Fruits & Vegetables","Y","Europe"
"219","Fish stock losses due to extreme floods - findings from pond-based aquaculture in the Czech Republic","Journal of Flood Risk Management",NA,"10.1111/jfr3.12332",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"flooding",NA,NA,NA,NA,NA,NA,"Czech Republic","National",NA,NA,NA,NA,135,"Seafood","Y","Europe"
"220","Oyster mortality in Delaware Bay: Impacts and recovery from Hurricane Irene and Tropical Storm Lee","Estuarine Coastal and Shelf Science",NA,"10.1016/j.ecss.2013.10.011",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"hurricane",NA,NA,NA,NA,NA,NA,"Delaware Bay, USA","Sub-national",NA,NA,NA,NA,136,"Seafood","Y","North America"
"221","The impact of climate change on the winegrape vineyards of the Portuguese Douro region","Climatic Change",NA,"10.1007/s10584-016-1719-9",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"temperature, soil moisture",NA,NA,NA,NA,NA,NA,"Douro region, Portugal","Sub-national",NA,NA,NA,NA,137,"Misc.","Y","Europe"
"222","On The Impact of Climate Change to Agricultural Productivity in East Java","2nd International Conference on Science (Icos)",NA,"10.1088/1742-6596/979/1/012092",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"extreme events",NA,NA,NA,NA,NA,NA,"east Java","Sub-national",NA,NA,NA,NA,138,"Maize, Wheat & Rice","Y","Asia"
"223","Climate Change, High-Temperature Stress, Rice Productivity, and Water Use in Eastern China: A New Superensemble-Based Probabilistic Projection","Journal of Applied Meteorology and Climatology",NA,"10.1175/JAMC-D-12-0100.1",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"",NA,NA,NA,NA,NA,NA,"eastern China","Sub-national",NA,NA,NA,NA,139,"Maize, Wheat & Rice","Y","Asia"
"224","Climate variability and rainfed maize production in the eastern Ivory Coast","Hydrological Sciences Journal-Journal Des Sciences Hydrologiques",NA,"10.1080/02626667.2010.545247",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"climate variability",NA,NA,NA,NA,NA,NA,"eastern Ivory Coast","Sub-national",NA,NA,NA,NA,140,"Maize, Wheat & Rice","Y","Africa"
"225","Harmfulness of weather events and the adaptive capacity of farmers at high latitudes of Europe","Climate Research",NA,"10.3354/cr01378",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"weather events",NA,NA,NA,NA,NA,NA,"Europe","National",NA,NA,NA,NA,141,"Other cereals","Y","Europe"
"226","Regional and global climate projections increase mid-century yield variability and crop productivity in Belgium","Regional Environmental Change",NA,"10.1007/s10113-015-0773-6",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"",NA,NA,NA,NA,NA,NA,"Flemish region, Belgium","Sub-national",NA,NA,NA,NA,142,"Maize, Wheat & Rice","Y","Europe"
"227","Key weather extremes affecting potato production in The Netherlands","European Journal of Agronomy",NA,"10.1016/j.eja.2011.09.002",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"weather extremes",NA,NA,NA,NA,NA,NA,"Flevoland, Netherlands","Sub-national",NA,NA,NA,NA,143,"Roots and tubers","Y","Europe"
"228","Impact of meteorological drivers on regional inter-annual crop yield variability in France","Agricultural and Forest Meteorology",NA,"10.1016/j.agrformet.2015.10.004",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"temperature, precipitation, solar radiation",NA,NA,NA,NA,NA,NA,"France","National",NA,NA,NA,NA,144,"Maize, Wheat & Rice","Y","Europe"
"229","Impacts of extreme weather on wheat and maize in France: evaluating regional crop simulations against observed data","Climatic Change",NA,"10.1007/s10584-011-0368-2",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"drought, heat stress",NA,NA,NA,NA,NA,NA,"France","National",NA,NA,NA,NA,145,"Maize, Wheat & Rice","Y","Europe"
"230","On the influence of environmental factors on harvest: the French Guiana shrimp fishery paradox","Environmental Economics and Policy Studies",NA,"10.1007/s10018-016-0153-6",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"ENSO, sea surface temperature",NA,NA,NA,NA,NA,NA,"French Guiana","National",NA,NA,NA,NA,146,"Seafood","Y","Africa"
"231","Sensitivity of the agroecosystem in the Ganges basin to inter-annual rainfall variability and associated changes in land use","International Journal of Climatology",NA,"10.1002/joc.3894",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"precipitation anomalies",NA,NA,NA,NA,NA,NA,"Ganges Basin","Sub-national",NA,NA,NA,NA,147,"Not specific","Y","Asia"
"232","How much did extreme weather events impact wheat yields in Germany? - A regionally differentiated analysis on the farm level","Agriculture and Climate Change - Adapting Crops to Increased Uncertainty (Agri 2015)",NA,"10.1016/j.proenv.2015.07.197",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"temperature, precipitation, frost, freeze-thaw, drought, heat",NA,NA,NA,NA,NA,NA,"Germany","National",NA,NA,NA,NA,148,"Maize, Wheat & Rice","Y","Europe"
"233","How do inputs and weather drive wheat yield volatility? The example of Germany","Food Policy",NA,"10.1016/j.foodpol.2017.05.001",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"weather",NA,NA,NA,NA,NA,NA,"Germany","National",NA,NA,NA,NA,149,"Maize, Wheat & Rice","Y","Europe"
"234","Simulation of the effect of rainfall on farm-level cocoa yield using a delayed differential equation model","Scientia Horticulturae",NA,"10.1016/j.scienta.2019.04.016",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"precipitation",NA,NA,NA,NA,NA,NA,"Ghana","National",NA,NA,NA,NA,150,"Misc.","Y","Africa"
"235","The Nexus of Weather Extremes to Agriculture Production Indexes and the Future Risk in Ghana","Climate",NA,"10.3390/cli6040086",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"extreme weather",NA,NA,NA,NA,NA,NA,"Ghana","National",NA,NA,NA,NA,151,"Other cereals","Y","Africa"
"236","Climate effects on historic bluefin tuna captures in the Gibraltar Strait and Western Mediterranean","Journal of Marine Systems",NA,"10.1016/j.jmarsys.2016.02.002",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"sea surface temperature, solar radiation",NA,NA,NA,NA,NA,NA,"Gibraltar Strait; western Mediterranean","Sub-national",NA,NA,NA,NA,152,"Seafood","Y","Multi-regional"
"237","Climate variation explains a third of global crop yield variability","Nature Communications",NA,"10.1038/ncomms6989",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"temperature, precipitation",NA,NA,NA,NA,NA,NA,"global","International",NA,NA,NA,NA,153,"Maize, Wheat & Rice","Y","Multi-regional"
"238","Influence of extreme weather disasters on global crop production","Nature",NA,"10.1038/nature16467",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"drought, extreme heat, extreme cold, flood",NA,NA,NA,NA,NA,NA,"global","International",NA,NA,NA,NA,154,"Other cereals","Y","Multi-regional"
"239","Vulnerabilities to agricultural production shocks: An extreme, plausible scenario for assessment of risk for the insurance sector","Climate Risk Management",NA,"10.1016/j.crm.2016.05.001",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"flood, drought",NA,NA,NA,NA,NA,NA,"global","International",NA,NA,NA,NA,155,"Maize, Wheat & Rice","Y","Multi-regional"
"240","Interactions between temperature and drought in global and regional crop yield variability during 1961-2014","Plos One",NA,"10.1371/journal.pone.0178339",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"temperature, drought",NA,NA,NA,NA,NA,NA,"global","International",NA,NA,NA,NA,156,"Maize, Wheat & Rice","Y","Multi-regional"
"241","Understanding the weather signal in national crop-yield variability","Earths Future",NA,"10.1002/2016EF000525",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"weather",NA,NA,NA,NA,NA,NA,"global","International",NA,NA,NA,NA,157,"Maize, Wheat & Rice","Y","Multi-regional"
"242","Future warming increases probability of globally synchronized maize production shocks","Proceedings of the National Academy of Sciences of the United States of America",NA,"10.1073/pnas.1718031115",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"climate variability
",NA,NA,NA,NA,NA,NA,"global","International",NA,NA,NA,NA,158,"Maize, Wheat & Rice","Y","Multi-regional"
"243","Global Patterns of Crop Production Losses Associated with Droughts from 1983 to 2009","Journal of Applied Meteorology and Climatology",NA,"10.1175/JAMC-D-18-0174.1",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"drouhts",NA,NA,NA,NA,NA,NA,"global","International",NA,NA,NA,NA,159,"Maize, Wheat & Rice","Y","Multi-regional"
"244","Synchronized failure of global crop production","Nature Ecology & Evolution",NA,"10.1038/s41559-019-0862-x",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"",NA,NA,NA,NA,NA,NA,"global","International",NA,NA,NA,NA,160,"Not specific","Y","Multi-regional"
"245","The effects of climate extremes on global agricultural yields","Environmental Research Letters",NA,"10.1088/1748-9326/ab154b",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"droughts, heat waves",NA,NA,NA,NA,NA,NA,"global","International",NA,NA,NA,NA,161,"Maize, Wheat & Rice","Y","Multi-regional"
"246","The El Nino impact on maize yields is amplified in lower income teleconnected countries","Environmental Research Letters",NA,"10.1088/1748-9326/ab0cd0",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"ENSO",NA,NA,NA,NA,NA,NA,"global","International",NA,NA,NA,NA,162,"Maize, Wheat & Rice","Y","Multi-regional"
"247","Evidence for a climate signal in trends of global crop yield variability over the past 50 years","Environmental Research Letters",NA,"10.1088/1748-9326/8/2/024001",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"climate variability",NA,NA,NA,NA,NA,NA,"global","International",NA,NA,NA,NA,163,"Maize, Wheat & Rice","Y","Multi-regional"
"248","Spatial heterogeneity stabilizes livestock productivity in a changing climate","Agriculture Ecosystems & Environment",NA,"10.1016/j.agee.2014.04.020",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"Precipitation",NA,NA,NA,NA,NA,NA,"Great Plains, USA","Sub-national",NA,NA,NA,NA,164,"Poultry, Pork & Other meat","Y","North America"
"249","Agricultural losses related to frost events: use of the 850 hPa level temperature as an explanatory variable of the damage cost","Natural Hazards and Earth System Sciences",NA,"10.5194/nhess-14-2375-2014",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"frost",NA,NA,NA,NA,NA,NA,"Greece","National",NA,NA,NA,NA,165,"Not specific","Y","Europe"
"250","Large-scale climatic effects on traditional Hawaiian fishpond aquaculture","Plos One",NA,"10.1371/journal.pone.0187951",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"winds, sea surface temperature",NA,NA,NA,NA,NA,NA,"Hawaii, USA","Sub-national",NA,NA,NA,NA,166,"Seafood","Y","North America"
"251","Impact of chilling injury and global warming on rice yield in Heilongjiang Province","Journal of Geographical Sciences",NA,"10.1007/s11442-013-0995-9",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"chilling injury",NA,NA,NA,NA,NA,NA,"Heilongjiang province, China","Sub-national",NA,NA,NA,NA,167,"Maize, Wheat & Rice","Y","Asia"
"252","Separating out the influence of climatic trend, fluctuations, and extreme events on crop yield: a case study in Hunan Province, China","Climate Dynamics",NA,"10.1007/s00382-017-3831-6",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"temperature, precipitation, sunshine duration",NA,NA,NA,NA,NA,NA,"Hunan province, China","Sub-national",NA,NA,NA,NA,168,"Maize, Wheat & Rice","Y","Asia"
"253","EFFECT OF DROUGHTY CLIMATIC CONDITIONS ON THE FORMATION OF QUALITY PARAMETERS OF WINTER WHEAT FLOUR","Cereal Research Communications",NA,NA,NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"drought",NA,NA,NA,NA,NA,NA,"Hungary","National",NA,NA,NA,NA,169,"Maize, Wheat & Rice","Y","Europe"
"254","Effect of Climate Variability and Climate Change on Crop Production in Tropical Wet-and Dry Climate","Italian Journal of Agrometeorology-Rivista Italiana Di Agrometeorologia",NA,NA,NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"temperature, precipitation",NA,NA,NA,NA,NA,NA,"Ibadan, Nigeria","Sub-national",NA,NA,NA,NA,170,"Not specific","Y","Africa"
"255","El Nino influence on potential maize yield in Iberian Peninsula","International Journal of Climatology",NA,"10.1002/joc.4426",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"ENSO",NA,NA,NA,NA,NA,NA,"Iberian Penisula","Sub-national",NA,NA,NA,NA,171,"Maize, Wheat & Rice","Y","Europe"
"256","SENSITIVITY OF CORN AND SOYBEAN YIELD IN ILLINOIS TO AIR TEMPERATURE AND PRECIPITATION: THE POTENTIAL IMPACT OF FUTURE CLIMATE CHANGE","Physical Geography",NA,"10.2747/0272-3646.30.1.27",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"temperature, precipitation",NA,NA,NA,NA,NA,NA,"Illinois, USA","Sub-national",NA,NA,NA,NA,172,"Maize, Wheat & Rice","Y","North America"
"257","Climate Change and Livestock Production in India: Effects and Mitigation Strategies","Indian Journal of Economics and Development",NA,"10.5958/2322-0430.2016.00197.9",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"",NA,NA,NA,NA,NA,NA,"India","National",NA,NA,NA,NA,173,"Poultry, Pork & Other meat","Y","Asia"
"258","Crop diversification and resilience of agriculture to climatic shocks: Evidence from India","Agricultural Systems",NA,"10.1016/j.agsy.2019.03.005",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"precipitation, heat",NA,NA,NA,NA,NA,NA,"India","National",NA,NA,NA,NA,174,"Not specific","Y","Asia"
"259","Sensitivity of grain yields to historical climate variability in India","Environmental Research Letters",NA,"10.1088/1748-9326/ab22db",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"temperature, precipitation",NA,NA,NA,NA,NA,NA,"India","National",NA,NA,NA,NA,175,"Maize, Wheat & Rice","Y","Asia"
"260","Environmental variations on swordfish (Xiphias gladius) catch rates in the Indian Ocean","Fisheries Research",NA,"10.1016/j.fishres.2014.08.010",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"IOSD, sea surface temperature",NA,NA,NA,NA,NA,NA,"Indian Ocean","International",NA,NA,NA,NA,176,"Seafood","Y","Multi-regional"
"261","El Nino Southern Oscillation (ENSO) impact on tuna fisheries in Indian Ocean","Springerplus",NA,"10.1186/2193-1801-3-591",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"ENSO",NA,NA,NA,NA,NA,NA,"Indian Ocean","International",NA,NA,NA,NA,177,"Seafood","Y","Multi-regional"
"262","The effect of temperature rise to rice crop yield in Indonesia uses Shierary Rice model with geographical information system (GIS) feature","2nd International Symposium on Lapan-Ipb Satellite (Lisat) for Food Security and Environmental Monitoring",NA,"10.1016/j.proenv.2016.03.072",NA,NA,NA,NA,"No",NA,"Yes",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"temperature",NA,NA,NA,NA,NA,NA,"Indonesia","National",NA,NA,NA,NA,178,"Maize, Wheat & Rice","Y","Asia"
